Blok 	Penghuni	UID	Label	Label	Keterangan	Action
3/1	Jono	56018067|171|25161	Aktif
		73849215|284|47392	Rusak
		61502734|139|18264	Hilang
		82945106|317|56481	Aktif
3/2	Dedi	49271638|205|31957	Aktif
		67183520|126|42816	Aktif
3/3	Andi	90327461|358|67123	Aktif
		54710829|192|23745	Hilang
		78635104|241|51936	Aktif
3/5	Sofyan	32490718|154|28671	Aktif
		65821493|329|45182	Aktif
		91563027|178|63854	Aktif
4/1	Maman	47182950|263|19427	Aktif
		83271645|117|57261	Aktif
4/2	Edi	50938472|306|34195	Aktif
		76412038|225|48673	Aktif
		39857261|143|21584	Aktif
4/3	Tono	68194730|291|60317	Aktif
		92740516|186|52948	Aktif
		54381629|334|37821	Aktif
